"id","duration","age","gender","sexuality","monogamy","nb_gender_attraction","sexualstandards_1","sexualstandards_2","sexualstandards_3","sexualstandards_4","sexualstandards_5","sexualstandards_6","sexualstandards_7","sexualstandards_8","sexualstandards_9","complexity_1","complexity_2","complexity_3","complexity_4","complexity_5","complexity_6","complexity_7","sexdrive_1","sexdrive_2","sexdrive_3","sexdrive_4","sexdrive_5","performanceandorgasm_1","performanceandorgasm_2","performanceandorgasm_3","performanceandorgasm_4","player_1","player_2","player_3","player_4","emotionalsex_1","emotionalsex_2","emotionalsex_3","courtship_1","courtship_2","courtship_3","courtship_4","courtship_5","courtship_6","courtship_7","courtship_8","initiators_1","initiators_2","initiators_3","initiators_4","appearance_1","appearance_2","appearance_3","appearance_4","appearance_5","doublestandards_1","doublestandards_2","doublestandards_3","doublestandards_4","doublestandards_5","ammsa_1","ammsa_2","ammsa_3","ammsa_4","ammsa_5","ammsa_6","ammsa_7","ammsa_8","ammsa_9","ammsa_10","ammsa_11","ammsa_12","ammsa_13","ammsa_14","ammsa_15","ammsa_16","ammsa_17","ammsa_18","ammsa_19","ammsa_20","ammsa_21","consent","arranged_1","situation_1","situation_2","situation_3","sex_1","sex_2","sex_3","sex_4","sex_5","sexlocation_1","sexlocation_2","sexlocation_3","sexlocation_4","sexlocation_5","sexlocation_6","contraception_1","contraception_2","contraception_3","contraception_4","contraception_5","metbefore","knownbefore","substances_1","substances_2","substances_3","substances_4","drunkstoned_1","drunkstoned_2","consentboy_1","consentboy_2","consentgirl_1","consentgirl_2","afterfeeling_1","afterfeeling_2","outlookgirl_1","outlookgirl_2","outlookgirl_3","outlookboy_1","outlookboy_2","outlookboy_3"
271,620,34,1,1,1,NA,2,2,2,2,2,3,2,2,2,3,4,6,4,3,5,2,3,3,3,3,3,2,2,2,4,2,3,2,2,3,4,3,1,2,1,2,2,1,2,2,2,2,2,2,3,1,1,2,4,2,2,2,2,2,3,1,1,2,2,1,2,1,4,2,2,1,2,1,1,2,1,1,1,4,1,1,5,4,4,3,3,3,4,3,3,3,3,2,2,1,3,3,5,3,1,2,3,4,4,4,1,1,2,2,3,3,3,3,4,4,3,3,3,3,3,3
272,977,45,1,1,1,NA,3,3,3,3,3,4,3,4,3,4,4,4,4,3,4,3,4,4,3,4,3,3,3,3,3,3,4,4,4,3,3,3,4,3,3,2,1,3,2,4,5,3,3,4,3,2,2,4,3,4,3,3,2,3,4,4,4,2,4,2,2,3,4,4,3,3,3,3,6,4,3,4,3,4,2,1,4,2,3,3,4,3,3,3,3,4,4,3,3,2,3,4,5,3,1,3,3,2,4,4,5,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3
273,1301,50,2,1,1,NA,2,2,3,2,2,3,2,2,2,4,4,4,5,3,2,4,5,4,5,4,4,3,2,4,3,4,4,3,4,4,4,4,4,4,2,3,3,2,4,4,5,2,2,4,4,2,3,4,4,3,3,4,3,2,2,4,3,2,3,2,2,5,4,4,2,4,3,3,4,3,2,4,4,5,1,1,5,3,2,4,3,1,3,4,3,3,3,1,1,1,4,5,5,1,1,1,4,4,3,3,3,1,2,1,4,1,3,3,4,4,3,3,3,3,3,3
274,1019,36,2,1,1,NA,3,1,4,2,5,4,5,2,2,4,4,4,4,3,4,2,4,3,4,3,5,3,4,4,4,4,4,3,4,6,5,5,4,2,2,1,1,2,1,2,4,4,2,4,4,4,4,3,4,4,4,3,3,2,1,1,2,1,2,1,4,3,1,3,2,1,2,1,6,1,1,3,4,3,1,1,5,4,4,5,5,3,2,5,4,4,4,1,1,1,1,2,3,1,1,4,3,4,4,5,3,5,3,4,4,3,2,2,5,4,3,3,4,4,2,2
275,787,30,2,1,1,NA,5,4,5,5,4,3,5,5,3,5,5,6,4,5,5,5,5,5,3,4,3,5,4,4,6,5,6,3,5,5,5,5,2,1,1,1,6,1,1,2,5,4,5,3,4,4,5,4,4,5,5,5,4,3,3,2,3,2,5,3,2,3,5,5,3,4,5,1,3,2,2,1,5,5,5,1,4,4,4,2,4,1,4,4,2,3,4,1,1,1,1,5,5,2,4,4,4,4,5,5,1,1,2,2,4,1,2,3,4,4,3,3,3,3,3,3
276,1000,27,1,1,1,NA,3,1,1,3,4,2,2,2,2,6,5,6,4,4,2,3,5,2,5,2,4,6,3,6,5,4,5,5,5,2,5,4,4,5,2,1,4,1,1,2,5,4,3,5,5,3,2,1,6,1,2,3,1,3,4,2,6,1,2,2,3,1,1,4,1,2,1,1,1,1,1,5,4,1,1,1,5,1,4,4,4,4,3,3,2,2,4,4,4,1,2,2,5,4,1,1,5,5,2,2,1,1,1,1,1,4,2,2,4,4,5,2,1,4,2,2
277,1190,36,1,1,1,NA,2,2,2,2,2,2,2,2,2,4,3,2,2,2,4,2,2,2,2,2,2,3,3,2,3,4,4,5,5,2,2,2,4,3,1,3,3,3,3,4,4,2,3,4,3,3,2,2,4,1,2,2,1,1,1,5,2,2,3,1,5,1,2,2,2,2,3,4,1,5,1,5,6,3,2,1,4,5,2,4,5,4,4,2,4,4,4,2,2,3,1,4,5,4,1,2,1,1,4,4,4,4,2,2,1,1,2,2,4,4,3,3,3,1,4,4
278,860,68,2,1,1,NA,3,4,4,3,3,4,4,3,3,4,4,4,5,4,5,3,5,5,4,4,4,5,4,4,3,3,3,3,3,4,4,4,2,3,2,3,4,2,2,2,4,3,3,4,3,2,2,4,2,6,4,5,3,3,4,4,1,4,4,4,2,3,2,4,4,2,4,1,6,1,4,3,3,4,1,1,4,4,3,2,3,1,2,3,1,1,2,1,1,1,1,3,5,5,1,1,4,5,4,4,1,1,1,1,1,1,1,1,3,3,4,2,3,3,3,3
279,596,43,1,1,1,NA,4,3,3,3,3,3,3,3,3,4,5,5,4,3,4,3,3,3,3,3,3,6,3,5,5,3,2,3,3,3,4,3,2,3,2,2,1,2,2,3,5,4,3,4,4,2,4,2,4,4,2,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,2,1,1,1,1,3,3,3,3,4,2,3,3,3,4,4,3,3,3,3,4,4,4,2,3,1,1,5,5,4,4,3,3,3,2,3,2,4,4,3,3,3,3,3,3
280,943,50,1,1,1,NA,2,2,2,2,2,2,2,4,2,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,2,1,1,2,1,1,2,2,1,1,2,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,2,1,2,2,3,2,2,2,2,2,1,2,2,3,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,4,3,4,1,1,1,1,4,1,1,1,1,4,2,1,2,3,3,2,3,3,2,3,3
281,836,45,1,1,1,NA,2,2,3,3,3,3,2,3,2,4,4,4,5,6,5,3,2,3,3,2,2,3,3,2,5,5,5,3,5,4,4,4,3,5,2,2,4,1,2,5,4,1,2,2,2,1,4,3,3,4,5,4,2,2,6,5,5,5,5,5,5,6,6,3,5,6,3,2,2,2,1,4,4,7,4,1,2,1,4,2,4,3,4,5,4,3,4,2,1,1,2,3,3,2,4,4,3,4,5,4,1,1,3,3,1,1,2,2,4,4,3,3,3,4,2,3
282,904,30,2,1,1,NA,4,5,5,5,2,4,4,5,3,5,5,6,5,5,6,4,6,6,6,6,6,5,3,6,2,5,4,1,5,5,5,5,1,2,2,2,1,1,1,3,5,2,3,4,5,3,5,5,3,5,5,5,2,2,2,5,2,2,2,2,2,5,2,3,1,6,1,1,2,1,1,3,6,5,2,1,4,3,4,1,4,1,2,5,1,4,4,1,1,1,1,4,4,4,1,4,3,4,5,5,1,1,2,3,4,4,1,4,5,4,5,1,1,3,3,4
283,792,67,1,1,1,NA,4,2,2,2,2,3,2,4,4,4,4,4,3,3,3,3,2,2,2,2,2,4,2,2,4,2,2,3,2,4,4,3,2,2,1,1,1,1,1,4,5,2,2,2,3,1,1,3,4,2,2,2,1,1,4,2,2,1,1,1,1,1,1,4,1,2,3,1,2,1,1,4,1,4,1,1,5,3,3,3,3,3,3,3,3,4,2,1,1,1,3,5,5,5,2,1,4,4,3,3,1,1,1,1,1,1,1,1,5,5,5,2,2,5,2,2
284,867,26,1,1,1,NA,1,1,1,1,1,1,1,3,1,5,4,4,4,4,5,3,4,3,4,1,3,1,2,2,6,3,3,4,2,1,3,2,2,4,1,2,1,2,2,1,5,4,2,3,5,4,2,2,5,1,1,3,1,1,4,4,3,4,4,2,4,4,5,2,2,4,2,4,3,3,2,5,5,3,2,1,4,4,3,4,4,4,3,4,3,2,4,1,1,4,1,4,4,4,2,3,3,4,4,4,2,3,3,3,2,4,3,3,4,4,3,3,3,3,3,3
285,826,64,1,1,1,NA,1,2,2,2,3,2,2,2,4,4,5,5,6,4,5,3,5,5,4,6,3,4,3,2,5,6,4,4,5,6,6,3,3,4,2,4,5,2,3,4,4,2,5,3,6,5,5,5,5,5,3,4,3,2,5,5,5,4,3,3,4,4,2,4,3,5,4,1,1,1,1,1,5,5,3,1,4,3,3,4,5,4,3,4,4,4,4,2,2,2,2,4,4,4,2,2,3,4,5,5,1,1,2,2,1,1,3,1,4,4,4,3,3,2,3,2
286,810,36,1,1,1,NA,1,2,1,2,2,1,2,1,1,4,5,3,5,5,4,2,3,4,4,4,4,4,3,5,4,4,4,3,4,2,2,1,3,5,2,5,5,4,2,3,4,2,3,4,2,2,4,3,5,4,2,2,1,2,4,5,3,4,2,2,3,2,2,4,3,5,3,5,3,5,2,2,6,5,2,1,5,4,5,2,4,3,4,2,2,2,4,1,1,1,1,5,4,4,1,2,2,4,5,5,1,1,2,2,1,2,1,1,4,4,4,2,2,4,1,1
287,715,53,2,1,1,NA,5,5,5,3,4,4,4,2,4,2,4,5,4,4,4,3,2,2,2,2,2,4,2,2,5,3,3,2,3,4,4,3,2,1,2,2,1,1,1,4,2,1,1,2,5,2,4,2,2,2,2,3,1,1,4,2,2,1,2,2,1,2,1,2,5,1,2,1,1,1,1,1,4,3,1,1,5,3,3,5,2,2,4,4,4,5,5,1,1,1,4,1,1,1,5,1,5,5,4,4,1,1,3,3,1,1,1,1,5,5,5,1,1,5,5,1
288,834,32,1,1,1,NA,3,4,3,4,2,4,3,5,4,5,5,5,5,5,3,5,5,3,4,4,3,5,4,5,5,2,2,2,2,5,4,3,4,4,2,3,2,1,2,2,5,4,3,2,3,2,3,5,5,4,3,5,2,1,2,2,3,2,2,2,3,3,2,5,2,5,2,3,2,5,1,2,1,5,2,1,4,2,4,2,3,3,4,4,4,4,3,2,4,4,3,4,5,2,1,1,3,4,2,2,1,1,1,1,1,1,2,2,4,4,4,2,2,4,2,2
289,1280,23,2,1,1,NA,2,1,1,1,3,2,1,1,1,4,4,5,5,4,6,4,1,1,1,1,1,3,5,2,6,5,5,1,4,5,5,4,1,1,1,1,1,1,2,1,4,2,1,2,1,1,1,2,2,2,3,4,1,1,1,1,4,1,1,1,1,2,4,4,1,1,1,2,4,1,1,5,5,1,1,1,5,5,2,1,4,4,3,4,4,2,4,2,1,1,1,5,5,5,1,1,5,5,4,4,1,1,2,2,2,2,2,2,5,5,4,1,1,4,4,4
290,765,48,1,1,1,NA,6,3,6,3,5,6,3,6,4,5,6,6,4,5,4,5,5,5,4,4,4,3,2,3,5,3,3,2,3,4,4,3,3,4,2,1,4,2,1,2,6,3,3,5,5,2,3,4,2,1,2,2,1,1,2,6,3,3,3,1,4,4,4,5,2,5,7,4,1,4,1,4,1,5,1,1,5,2,4,5,3,3,3,3,3,3,2,1,3,1,4,5,5,5,1,1,5,5,3,3,1,1,1,1,3,4,3,1,5,5,3,3,3,3,4,2
291,706,45,1,1,1,NA,1,1,1,1,1,1,1,1,2,2,5,4,4,4,2,2,2,2,3,1,4,1,1,1,4,3,3,4,5,2,1,2,1,1,1,2,1,2,1,1,4,2,1,4,3,2,3,2,4,2,2,1,1,1,2,2,4,1,1,1,2,1,1,1,2,2,3,2,1,3,1,6,1,2,1,1,5,3,4,2,3,4,4,4,4,4,4,2,2,2,1,5,5,4,1,1,3,4,2,2,1,1,1,1,1,1,2,2,4,4,3,3,2,4,2,4
292,1400,43,1,1,1,NA,5,4,3,5,3,5,5,3,4,6,6,6,6,5,4,2,5,3,4,5,3,2,2,1,4,4,4,5,5,5,4,3,5,6,3,4,5,5,1,6,6,3,5,4,6,3,5,4,5,4,3,4,4,2,7,5,3,6,7,2,4,3,5,5,7,2,6,7,5,5,1,1,4,6,3,1,4,1,5,3,4,5,4,2,4,4,4,1,1,1,4,4,5,3,4,1,4,4,4,4,1,1,2,2,1,1,1,2,4,5,3,3,2,4,2,1
293,1366,64,2,1,1,NA,2,2,3,2,3,4,4,3,2,5,5,5,5,4,5,4,3,4,3,5,3,3,2,5,6,4,2,5,5,5,5,5,1,2,1,1,1,1,1,3,3,3,2,5,2,3,4,5,5,5,5,4,1,2,2,4,2,2,2,4,2,4,4,4,4,3,5,2,6,3,4,4,5,6,2,1,5,3,2,2,4,4,4,5,3,3,3,2,3,3,2,2,4,4,1,4,1,1,4,4,1,1,2,3,3,2,2,4,4,4,4,3,3,2,3,3
294,883,68,2,1,1,NA,3,4,4,3,3,3,3,4,3,4,5,5,5,5,5,4,2,2,3,3,3,5,5,5,5,3,3,3,3,5,5,3,1,3,2,1,1,1,1,2,4,2,2,2,4,3,4,4,1,4,3,2,2,3,2,4,2,2,2,3,2,4,3,4,2,4,2,4,4,4,2,2,4,5,2,1,2,3,4,3,3,1,1,3,1,3,3,1,1,1,1,3,4,4,1,1,3,4,3,2,1,1,1,1,1,1,1,1,4,4,4,2,2,4,2,2
295,876,61,2,1,1,NA,5,6,6,4,6,5,6,6,6,6,6,5,6,6,6,5,5,5,6,5,5,4,3,5,5,5,6,3,5,6,6,4,1,1,2,1,1,1,2,3,4,3,4,4,4,2,4,4,4,5,5,4,2,2,4,4,5,4,4,4,4,4,5,4,3,3,4,3,4,4,4,4,4,6,2,1,5,3,4,2,4,4,4,4,4,3,4,1,1,1,3,4,4,3,1,1,3,4,4,4,1,1,3,3,3,3,3,3,4,4,4,1,1,4,2,2
296,710,30,1,1,1,NA,4,4,3,5,4,2,4,5,2,4,4,4,4,3,3,3,4,3,4,3,2,4,3,4,4,3,3,2,2,4,4,3,3,4,3,4,4,4,3,5,4,3,3,4,5,4,4,4,4,3,4,4,4,4,5,3,5,3,5,3,4,5,3,4,4,5,3,5,3,4,3,4,4,3,2,1,4,3,4,2,4,4,4,3,3,4,4,2,2,2,4,5,5,4,2,4,1,1,5,4,2,2,4,3,2,2,1,1,4,4,3,3,4,3,3,4
297,933,40,2,1,1,NA,4,4,4,3,2,3,2,3,1,2,4,4,4,3,5,4,1,1,1,1,1,4,2,4,6,2,3,2,3,4,4,3,2,1,4,1,4,2,1,4,6,2,1,2,4,1,4,2,4,2,2,3,2,1,1,1,3,1,1,1,1,7,1,4,1,1,1,1,2,2,1,1,1,2,1,1,5,5,3,3,3,3,3,3,3,4,4,2,2,1,2,2,5,4,1,1,4,4,3,3,1,1,1,1,1,1,3,1,5,5,3,3,1,3,3,1
298,1077,37,1,1,1,NA,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,4,2,2,2,2,2,4,3,3,4,3,2,3,4,4,4,4,2,4,2,2,2,2,2,2,5,2,2,2,4,2,3,2,3,2,4,2,2,2,2,4,4,2,3,5,3,4,2,3,2,2,2,4,2,4,2,4,4,3,2,1,4,4,2,2,3,3,4,3,4,3,3,1,1,1,1,4,4,4,2,1,3,4,5,4,1,1,2,2,1,1,1,1,4,4,3,3,2,3,3,2
299,995,72,1,1,1,NA,4,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,4,6,5,5,6,6,6,6,2,3,4,3,4,4,4,4,3,3,3,2,3,3,3,5,4,3,3,4,3,4,3,3,4,4,4,5,5,4,5,3,3,3,3,3,4,5,4,4,4,5,1,5,3,2,4,4,5,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,3,2,3,2,4,4,4,4,1,1,3,3,4,2,3,3,2,2,1,4,2,1,5,3
300,1352,30,2,1,1,NA,4,4,4,3,2,4,3,5,3,5,5,6,5,4,4,4,6,5,6,5,4,2,2,2,4,3,3,2,3,5,5,4,1,4,2,3,2,2,2,2,5,3,4,3,4,3,4,4,4,3,4,4,2,4,4,5,5,5,5,5,5,4,4,4,5,5,5,3,5,2,2,5,7,6,4,1,4,2,2,5,4,4,3,5,2,4,4,2,1,1,4,5,4,4,2,2,3,4,4,2,1,1,2,2,4,3,2,2,4,4,4,2,4,4,2,2
301,620,75,1,1,1,NA,3,4,4,3,4,5,3,4,3,4,4,5,4,4,3,2,4,3,3,4,3,2,2,2,4,3,3,3,3,3,3,3,4,2,3,4,3,2,1,4,3,2,1,3,4,2,5,3,3,3,3,3,1,2,4,4,3,3,3,4,2,3,6,3,3,4,2,5,3,3,2,5,5,6,1,1,4,4,3,2,3,2,2,2,2,2,2,2,2,2,4,2,2,2,5,1,3,4,4,4,1,1,1,1,2,1,2,2,4,4,3,3,2,3,3,2
302,741,21,1,1,1,NA,3,2,3,4,3,3,3,4,2,5,5,5,4,5,5,4,4,3,4,4,4,4,4,4,5,3,4,3,3,5,6,4,3,4,1,4,5,2,1,4,5,3,4,2,5,4,5,5,4,3,6,5,2,4,4,3,3,3,4,4,4,5,3,4,3,2,5,3,2,3,2,6,3,4,3,1,4,2,2,2,4,3,3,2,3,3,3,1,1,1,1,5,4,5,1,4,1,1,5,5,1,1,3,3,2,4,1,2,4,4,4,2,2,4,2,2
303,1469,45,2,1,1,NA,5,4,6,5,5,6,1,5,6,6,5,5,5,5,5,5,6,2,5,5,5,6,5,5,6,1,6,2,2,6,5,5,2,1,5,5,1,1,1,2,5,5,5,6,5,1,4,5,1,5,6,6,5,1,6,6,5,2,7,7,6,4,4,6,7,1,4,2,2,7,4,2,1,6,7,1,5,3,5,1,5,4,1,5,1,1,2,1,3,1,5,5,5,1,1,1,5,5,2,2,1,1,1,1,4,1,1,2,5,5,4,3,4,3,4,3
304,1127,49,2,1,1,NA,1,1,1,1,1,1,1,1,1,4,4,3,3,3,4,4,3,3,3,4,4,4,4,4,5,2,2,2,3,5,4,4,3,4,2,4,1,1,2,4,3,3,2,3,4,2,3,4,4,1,3,4,2,1,2,5,5,1,2,4,3,4,4,3,2,2,3,5,4,5,2,4,5,5,2,1,4,2,4,4,4,4,2,4,1,4,2,1,1,1,2,4,4,1,1,1,1,1,5,5,1,1,1,1,4,1,1,1,5,5,4,1,1,4,2,1
305,1080,31,1,1,1,NA,4,3,3,3,3,3,3,3,3,5,5,6,5,5,6,1,3,3,2,3,2,5,4,4,5,2,3,2,2,6,6,5,2,3,1,2,4,4,2,6,5,4,6,5,4,4,6,6,5,2,3,3,1,4,5,2,3,2,4,2,3,5,4,4,4,2,5,2,4,3,1,5,4,4,5,1,5,2,5,4,4,4,4,3,3,5,4,2,1,1,3,5,5,3,3,3,3,4,1,2,1,1,1,1,1,1,3,1,5,5,5,3,1,3,3,1
306,734,27,1,1,1,NA,3,1,2,2,3,2,2,3,2,4,4,4,4,4,2,3,4,3,3,4,3,2,2,3,2,5,4,4,4,2,2,2,3,5,2,4,3,2,3,2,4,3,3,4,5,3,4,4,4,3,3,2,2,2,2,3,2,2,4,2,4,4,5,2,3,3,3,3,2,2,2,2,4,4,1,1,4,4,4,3,4,4,3,4,4,4,5,4,1,2,2,4,5,4,2,4,1,2,4,4,1,2,2,2,2,1,2,1,4,4,4,3,3,4,3,3
307,1060,41,2,1,1,NA,4,2,4,3,4,3,1,2,3,5,5,4,5,4,3,4,4,3,2,2,4,4,2,4,5,5,4,2,4,4,4,2,3,2,2,3,4,4,1,4,6,5,5,4,5,2,5,5,4,3,3,4,1,2,3,4,5,4,3,1,3,3,4,5,2,3,3,6,5,5,2,5,5,5,2,1,5,2,2,4,4,4,3,5,4,4,3,2,2,1,3,2,2,1,4,3,5,5,4,5,2,2,2,3,2,3,1,2,5,5,5,2,1,4,3,3
308,1608,39,1,1,1,NA,4,5,5,5,5,4,3,5,3,4,5,6,5,3,6,3,3,2,4,4,3,6,4,5,5,2,1,2,1,5,5,4,3,2,2,3,4,1,1,5,6,5,3,5,4,3,3,6,4,2,2,2,2,2,7,4,5,4,6,4,3,5,6,2,4,4,7,2,7,1,2,4,2,7,4,1,5,2,4,4,3,3,4,2,2,3,4,4,3,2,3,5,5,2,5,1,3,4,4,4,1,1,3,3,3,2,4,2,3,3,4,2,1,4,2,1
309,891,60,2,1,1,NA,2,2,2,3,2,2,1,2,1,5,5,6,5,5,6,4,4,4,4,4,4,4,3,4,4,4,4,2,4,4,5,4,2,1,1,3,3,2,3,2,3,2,3,4,5,4,4,4,3,4,5,5,4,2,2,2,5,2,2,2,2,5,6,4,2,3,5,2,2,2,1,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,3,2,4,4,4,5,5,1,1,1,3,3,5,5,1,1,3,3,3,1,1,1,4,4,3,3,3,2,4,3
310,659,35,1,1,1,NA,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,4,4,4,4,4,6,4,4,6,4,4,2,3,3,2,1,2,4,1,1,2,1,3,2,5,2,2,2,4,3,2,5,5,2,3,2,2,2,4,5,6,4,4,2,5,3,5,4,4,4,5,5,5,5,1,5,5,5,4,1,5,4,4,4,4,4,2,3,3,4,4,1,1,1,1,5,3,5,1,3,4,4,5,5,2,2,2,2,1,1,3,1,5,5,5,1,1,5,1,1
311,887,57,2,1,1,NA,5,4,5,5,3,6,3,5,3,4,4,5,4,5,4,3,4,4,5,4,4,2,2,2,3,4,4,3,4,4,4,4,1,2,2,1,4,1,1,4,4,3,4,4,4,3,4,4,2,4,4,5,4,3,4,3,3,4,4,4,3,5,5,3,4,5,5,3,6,3,5,4,4,5,3,1,5,5,4,2,4,4,2,4,2,4,2,1,1,1,1,3,5,1,4,2,4,4,4,4,1,1,2,2,2,1,2,1,3,3,4,4,2,4,2,2
312,1329,56,2,1,1,NA,2,2,4,2,2,4,2,2,2,5,5,5,4,5,4,5,2,3,2,2,2,2,3,5,4,4,5,5,4,4,2,2,2,3,1,4,2,2,2,2,5,2,2,2,4,4,5,4,3,2,2,3,4,2,5,5,5,2,4,4,4,4,3,4,4,4,5,3,4,4,4,2,6,4,3,1,4,3,3,3,4,4,4,4,4,4,4,4,3,1,3,5,5,3,1,1,3,4,3,3,1,1,1,1,3,1,3,3,4,4,3,3,4,3,3,3
313,811,43,1,1,1,NA,1,1,1,1,1,1,1,1,1,4,4,4,4,2,4,3,2,2,2,2,2,4,3,4,4,2,2,3,3,2,2,2,2,4,1,2,2,2,2,2,3,2,2,4,2,3,3,1,4,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,4,2,2,1,1,3,3,3,2,3,3,2,2,2,4,3,2,2,2,2,5,5,3,1,1,4,3,1,3,1,3,1,1,1,1,1,2,4,4,3,3,3,3,3,3
314,1794,24,2,1,1,NA,3,4,6,1,1,5,3,1,1,5,5,4,5,5,4,4,5,3,4,5,3,6,3,6,6,6,6,6,6,6,6,4,4,4,4,3,4,4,1,4,6,3,4,3,5,4,4,5,4,4,5,6,4,1,5,3,5,3,3,5,5,6,6,5,1,3,1,6,5,5,3,4,1,7,3,1,5,1,5,5,4,5,2,4,4,2,5,2,1,1,5,5,5,2,2,5,3,5,4,1,2,1,2,1,2,2,4,4,5,5,5,2,2,4,4,3
315,881,24,2,1,1,NA,5,5,6,4,5,4,5,6,2,4,4,4,4,4,5,4,3,2,4,2,4,3,2,2,3,3,3,1,3,3,4,3,2,1,1,4,1,5,1,1,6,4,2,3,1,1,1,1,3,1,2,4,2,4,3,3,4,2,2,1,2,2,1,4,1,2,2,2,6,3,1,5,5,2,2,1,4,2,2,2,1,1,1,2,1,1,1,1,1,1,1,5,4,1,1,1,5,5,2,1,1,1,1,1,5,1,5,1,2,2,4,2,2,4,2,2
316,1337,26,2,1,1,NA,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,3,3,3,3,3,2,1,2,3,3,3,3,4,5,4,5,1,2,1,1,1,2,1,2,4,4,3,3,1,1,1,4,3,2,2,3,4,1,4,1,4,1,1,1,1,2,4,4,1,1,1,4,2,5,2,2,2,4,1,1,2,4,4,4,4,4,5,4,4,2,4,1,2,3,4,4,4,4,1,2,3,2,5,5,4,4,3,3,1,1,1,1,5,5,3,3,2,3,3,2
317,784,29,1,1,1,NA,2,2,3,2,2,2,2,2,2,5,5,4,5,5,5,2,4,2,4,4,4,4,3,2,4,3,3,3,3,4,4,3,2,2,1,3,2,3,2,4,6,3,3,5,3,2,2,2,3,1,2,4,1,2,4,5,5,3,4,4,5,1,3,6,3,5,5,3,7,3,1,5,2,6,4,1,5,4,4,1,3,2,4,3,3,2,4,1,1,1,1,2,5,4,1,1,3,4,4,4,1,1,1,1,2,2,2,2,4,4,4,2,2,4,2,2
318,635,33,1,1,1,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,3,2,3,3,3,2,2,3,2,2,2,2,2,2,4,3,4,4,3,3,2,3,3,3,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,1,4,3,2,3,3,3,4,2,3,3,3,2,2,2,2,4,3,3,3,3,4,4,3,3,3,3,2,2,1,1,1,1,3,3,3,3,3,4,3,3
319,1117,28,1,1,1,NA,3,6,3,6,4,5,6,4,4,6,6,5,5,5,6,5,6,5,6,6,6,6,4,4,5,6,5,2,4,4,3,3,5,4,4,4,3,4,3,3,4,3,4,3,3,4,4,4,5,6,6,3,4,4,6,4,5,4,4,5,4,7,4,4,3,3,4,4,7,4,3,2,2,5,1,1,4,3,4,4,3,3,4,3,3,4,4,3,2,2,3,3,5,2,3,3,3,4,2,2,2,2,1,1,1,1,3,3,4,4,4,3,3,3,3,3
320,1015,22,2,1,1,NA,4,2,5,2,5,4,3,2,5,5,5,5,5,5,5,5,4,3,4,4,3,6,4,5,2,5,5,2,5,4,4,3,1,1,1,3,1,1,1,1,5,2,2,2,5,6,4,4,2,5,5,5,2,1,1,1,4,2,1,1,1,1,2,1,2,1,1,2,5,3,1,1,2,2,1,1,5,1,4,2,1,1,1,4,2,1,1,1,1,1,4,4,5,4,1,1,5,5,4,4,1,1,1,1,1,1,1,1,5,5,4,2,1,5,1,1
321,831,48,1,1,1,NA,2,2,2,3,3,2,3,2,3,5,4,2,3,2,4,3,4,3,2,3,3,4,2,4,5,3,3,4,3,5,5,3,4,3,4,3,4,3,2,4,4,2,2,3,5,4,4,3,5,2,4,4,4,3,5,6,5,4,4,4,4,3,5,6,2,5,5,5,5,4,4,4,4,6,2,1,5,4,2,3,4,4,2,3,3,4,4,2,1,1,2,4,4,3,2,3,4,4,4,4,1,1,2,2,2,3,2,2,4,4,4,3,2,4,2,2
322,983,31,2,1,1,NA,5,3,4,4,5,5,3,4,3,4,5,5,4,5,4,3,3,2,4,3,3,3,3,5,5,2,3,1,2,4,4,4,2,2,2,3,2,2,2,2,4,3,4,4,3,2,4,3,4,4,2,3,2,3,2,3,3,1,2,2,2,6,2,4,2,2,3,2,1,2,2,3,2,5,1,1,5,5,2,1,4,2,2,3,2,4,2,1,1,1,1,5,5,5,1,1,3,4,4,4,2,1,3,2,2,2,2,2,5,5,4,3,2,3,3,3
323,904,46,2,1,1,NA,2,2,3,2,2,3,2,2,2,4,4,4,4,3,5,3,2,2,2,2,2,3,3,5,4,3,3,3,3,3,3,4,2,4,2,2,1,3,2,2,4,3,4,3,3,2,2,4,4,3,3,4,2,2,2,2,4,2,1,2,1,2,2,2,2,2,3,3,4,3,2,3,3,5,5,1,4,3,2,2,3,4,4,3,3,4,4,3,3,3,2,5,5,2,1,2,3,4,3,3,3,2,1,2,2,1,3,3,4,4,3,3,3,3,3,3
